"tag_id","obs_site","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"384.3B23A4EF4F","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-30 08:37:05,"H",NA,FALSE,"sockeye"
"384.3B23A4EF4F","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-30 08:37:04,"H",NA,FALSE,"sockeye"
"384.3B23A4EF4F","TD2","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 12:32:12,"H",NA,FALSE,"sockeye"
"384.3B23A4EF4F","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-30 08:27:16,"H",NA,FALSE,"sockeye"
"384.3B23A4EF4F","TD2","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 12:32:11,"H",NA,FALSE,"sockeye"
"384.3B23A4FB9F","JDALD2","Summer","RLCTRP","Upper Salmon",2014-05-08,"Passive Recapture",2017-07-06 16:03:08,"H",NA,FALSE,"sockeye"
"384.3B23A4FB9F","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-05 17:36:02,"H",NA,FALSE,"sockeye"
"384.3B23A4FB9F","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-05 17:36:03,"H",NA,FALSE,"sockeye"
"384.3B23A4FB9F","LMJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-24 03:02:03,"H",NA,FALSE,"sockeye"
"384.3B23A4FB9F","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 11:58:12,"H",NA,FALSE,"sockeye"
"384.3B23A4FB9F","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 11:58:13,"H",NA,FALSE,"sockeye"
"384.3B23A4FB9F","LMJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-24 03:02:04,"H",NA,FALSE,"sockeye"
"384.3B23A51661","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-08 15:45:04,"H",NA,FALSE,"sockeye"
"384.3B23A51661","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-07 05:30:52,"H",NA,FALSE,"sockeye"
"384.3B23A51661","JDALD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Passive Recapture",2017-07-11 10:49:41,"H",NA,FALSE,"sockeye"
"384.3B23A51661","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-07 05:30:53,"H",NA,FALSE,"sockeye"
"384.3B23A51661","MC1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-15 21:43:59,"H",NA,FALSE,"sockeye"
"384.3B23A51661","JDALD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Passive Recapture",2017-07-09 13:18:03,"H",NA,FALSE,"sockeye"
"384.3B23A51661","GRA","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-22 12:29:37,"H",NA,FALSE,"sockeye"
"384.3B23A51661","GOA","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-21 00:40:37,"H",NA,FALSE,"sockeye"
"384.3B23A51661","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-08 15:45:05,"H",NA,FALSE,"sockeye"
"384.3B23A51661","GRA","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-22 12:42:19,"H",NA,FALSE,"sockeye"
"384.3B23A51661","LMA","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-19 10:38:20,"H",NA,FALSE,"sockeye"
"384.3B23A51661","GOA","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-21 00:40:38,"H",NA,FALSE,"sockeye"
"384.3B23A51661","ICH","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-18 07:14:44,"H",NA,FALSE,"sockeye"
"384.3B23A51661","USE","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-08-16 02:39:03,"H",NA,FALSE,"sockeye"
"384.3B23A51661","MC1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-15 21:44:00,"H",NA,FALSE,"sockeye"
"384.3B23A51661","LMA","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-19 10:38:19,"H",NA,FALSE,"sockeye"
"384.3B23A51661","ICH","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-18 07:14:43,"H",NA,FALSE,"sockeye"
"384.3B23A53B8E","BO3","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 06:43:38,"H",NA,FALSE,"sockeye"
"384.3B23A53B8E","LMJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-18 22:31:45,"H",NA,TRUE,"sockeye"
"384.3B23A53B8E","BO3","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 06:43:37,"H",NA,FALSE,"sockeye"
"384.3B23A53B8E","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 11:56:11,"H",NA,FALSE,"sockeye"
"384.3B23A53B8E","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 11:56:10,"H",NA,FALSE,"sockeye"
"384.3B23A53B8E","LMJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-18 22:31:46,"H",NA,TRUE,"sockeye"
"384.3B23A5ADB1","BO3","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-24 21:04:51,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","BCC","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-26 14:57:42,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","COLR4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Recovery",2017-06-27 08:21:04,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","BCC","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-26 14:57:41,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","JDJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-25 09:58:47,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-25 05:42:55,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","TWX","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-27 22:06:47,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-26 11:20:42,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-26 11:20:46,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-25 05:42:56,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","JDJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-25 09:58:46,"H",NA,FALSE,"sockeye"
"3D9.1C2D82239C","GOJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-19 12:31:46,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-02 14:56:09,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 10:58:19,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","GOJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-19 12:31:44,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 10:58:18,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-02 14:56:08,"H",143,FALSE,"sockeye"
"3D9.1C2D895279","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-27 19:01:07,"H",127,FALSE,"sockeye"
"3D9.1C2D895279","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-29 11:00:18,"H",127,FALSE,"sockeye"
"3D9.1C2D895279","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-29 11:00:17,"H",127,FALSE,"sockeye"
"3D9.1C2D895279","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-27 19:01:08,"H",127,FALSE,"sockeye"
"3DD.007739FF97","ICH","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-12 16:56:53,"H",173,FALSE,"sockeye"
"3DD.007739FF97","LMA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-13 22:00:45,"H",173,FALSE,"sockeye"
