"obs_site","ant","tag_id","run","rtype_name","filename","rel_site","rel_rkm","subbasin","subbasin_name","rel_date","etype","date","length","count","transported","year","mindate","maxdate"
"TOUCHR",NA,"384.3B23A932E7","Summer","Wild Fish or Natural Production","JDB16130.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-05-09,"Mark",2016-05-09 13:00:00,600,1,FALSE,NA,NA,NA
"PRV","ARRAY","384.3B23A932E7","Summer","Wild Fish or Natural Production","JDB16130.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-05-09,"Observation",2016-05-21 23:09:35,NA,1,FALSE,NA,NA,NA
"BCC","15X15 FULL-FLOW ANTENNA","384.3B23A932E7","Summer","Wild Fish or Natural Production","JDB16130.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-05-09,"Observation",2016-05-28 22:23:43,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"384.3B23A9B8F0","Summer","Wild Fish or Natural Production","JDB16124.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-05-03,"Mark",2016-05-03 13:00:00,550,1,FALSE,NA,NA,NA
"BBT","DOWNSTREAM ARRAY","384.3B23A9B8F0","Summer","Wild Fish or Natural Production","JDB16124.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-05-03,"Observation",2016-05-09 01:43:53,NA,1,FALSE,NA,NA,NA
"PRV","ARRAY","384.3B23A9B8F0","Summer","Wild Fish or Natural Production","JDB16124.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-05-03,"Observation",2016-05-11 13:45:15,NA,1,FALSE,NA,NA,NA
"BCC","15X15 FULL-FLOW ANTENNA","384.3B23A9B8F0","Summer","Wild Fish or Natural Production","JDB16124.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-05-03,"Observation",2016-05-18 21:28:51,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D6A012A","Summer","Wild Fish or Natural Production","JDB15077.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-03-18,"Mark",2015-03-18 14:00:00,530,1,FALSE,NA,NA,NA
"BBT","UPSTREAM ARRAY","3D9.1C2D6A012A","Summer","Wild Fish or Natural Production","JDB15077.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-03-18,"Observation",2015-04-15 01:24:31,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D6A0CD4","Summer","Hatchery Reared","JDB15118.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-28,"Mark",2015-04-28 17:00:00,610,1,FALSE,NA,NA,NA
"BBT","DOWNSTREAM ARRAY","3D9.1C2D6A0CD4","Summer","Hatchery Reared","JDB15118.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-28,"Observation",2015-05-11 02:27:18,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D6A5AF2","Summer","Wild Fish or Natural Production","JDB16106.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-04-15,"Mark",2016-04-15 13:00:00,660,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D6A79AE","Summer","Hatchery Reared","JDB15076.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-03-17,"Mark",2015-03-17 14:00:00,530,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D6AED76","Summer","Wild Fish or Natural Production","JDB16106.TOU","TOUCHR","509.035",17070102,"Walla Walla",2016-04-15,"Mark",2016-04-15 13:00:00,500,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D6B74AA","Summer","Wild Fish or Natural Production","JDB15103.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-13,"Mark",2015-04-13 17:00:00,700,1,FALSE,NA,NA,NA
"BBT","DOWNSTREAM ARRAY","3D9.1C2D6B74AA","Summer","Wild Fish or Natural Production","JDB15103.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-13,"Observation",2015-05-09 03:33:09,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D6C4C1B","Summer","Wild Fish or Natural Production","JDB15092.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-02,"Mark",2015-04-02 15:00:00,540,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D6C4CEF","Summer","Wild Fish or Natural Production","JDB15103.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-13,"Mark",2015-04-13 17:00:00,720,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D71E694","Summer","Wild Fish or Natural Production","JDB15083.TOT","TOUCHR","509.035",17070102,"Walla Walla",2015-03-24,"Mark",2015-03-24 15:00:00,590,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D71F4C2","Summer","Wild Fish or Natural Production","JDB15072.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-03-13,"Mark",2015-03-13 14:00:00,580,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D72525E","Summer","Wild Fish or Natural Production","JDB15092.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-02,"Mark",2015-04-02 15:00:00,540,1,FALSE,NA,NA,NA
"BBT","DOWNSTREAM ARRAY","3D9.1C2D72525E","Summer","Wild Fish or Natural Production","JDB15092.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-02,"Observation",2015-04-15 07:33:47,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D725956","Summer","Wild Fish or Natural Production","JDB15079.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-03-20,"Mark",2015-03-20 14:00:00,610,1,FALSE,NA,NA,NA
"BBT","DOWNSTREAM ARRAY","3D9.1C2D725956","Summer","Wild Fish or Natural Production","JDB15079.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-03-20,"Observation",2015-05-05 17:36:57,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3D9.1C2D726DE4","Summer","Wild Fish or Natural Production","JDB15098.TOU","TOUCHR","509.035",17070102,"Walla Walla",2015-04-08,"Mark",2015-04-08 17:00:00,690,1,FALSE,NA,NA,NA
