"tag_id","obs_site","ant","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3D9.1BF119EAE8","LMJ","DIVERSION RIVER EXIT","Summer","ALTULC","Upper Salmon","2008-05-10","Observation","2008-05-23 11:52:35","W",90,FALSE,"sockeye"
"3D9.1BF119EAE8","JDJ","RIVER EXIT","Summer","ALTULC","Upper Salmon","2008-05-10","Observation","2008-05-29 16:16:25","W",90,FALSE,"sockeye"
"3D9.1BF119EAE8","JDJ","RIVER EXIT","Summer","ALTULC","Upper Salmon","2008-05-10","Observation","2008-05-29 16:16:24","W",90,FALSE,"sockeye"
"3D9.1BF119EAE8","LMJ","B-DIVERSION","Summer","ALTULC","Upper Salmon","2008-05-10","Observation","2008-05-23 11:37:14","W",90,FALSE,"sockeye"
"3D9.1BF11B11B5","LMJ","B-SEPARATOR GATE","Summer","ALTULC","Upper Salmon","2008-05-11","Observation","2008-05-23 19:58:27","W",112,FALSE,"sockeye"
"3D9.1BF11B11B5","LMJ","B-RACEWAY","Summer","ALTULC","Upper Salmon","2008-05-11","Observation","2008-05-23 19:58:52","W",112,TRUE,"sockeye"
"3D9.1BF11B28E7","GOJ","ADULT FISH RETURN","Summer","ALTULC","Upper Salmon","2008-05-09","Observation","2008-05-30 22:17:31","W",83,FALSE,"sockeye"
"3D9.1BF11B28E7","GOJ","ADULT FISH RETURN","Summer","ALTULC","Upper Salmon","2008-05-09","Observation","2008-05-30 22:17:32","W",83,FALSE,"sockeye"
"3D9.1BF11B3744","LMJ","DIVERSION RIVER EXIT","Summer","ALTULC","Upper Salmon","2008-05-10","Observation","2008-05-24 13:36:32","W",92,FALSE,"sockeye"
"3D9.1BF11B3744","LMJ","DIVERSION RIVER EXIT","Summer","ALTULC","Upper Salmon","2008-05-10","Observation","2008-05-24 13:36:33","W",92,FALSE,"sockeye"
"3D9.1BF11B3769","GOJ","DIVERSION RIVER EXIT","Summer","ALTULC","Upper Salmon","2008-05-11","Observation","2008-05-20 17:27:14","W",80,FALSE,"sockeye"
"3D9.1BF11B3769","JDJ","SBYC SEPARATOR GATE","Summer","ALTULC","Upper Salmon","2008-05-11","Observation","2008-05-27 07:23:19","W",80,FALSE,"sockeye"
