"tag_id","obs_site","ant","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3DD.00774F65F7","BO1","VERTICAL SLOT DETECTORS","Summer","RLCTRP","Upper Salmon","2014-05-08","Observation","2017-07-03 13:19:03","H",NA,FALSE,"sockeye"
"3DD.00774F65F7","BO1","VERTICAL SLOT DETECTORS","Summer","RLCTRP","Upper Salmon","2014-05-08","Observation","2017-07-03 13:10:32","H",NA,FALSE,"sockeye"
"3DD.00774F65F7","B2J","RIVER EXIT","Summer","RLCTRP","Upper Salmon","2014-05-08","Observation","2014-05-23 13:40:22","H",NA,FALSE,"sockeye"
"3DD.00774F65F7","B2J","SBYC SEPARATOR GATE","Summer","RLCTRP","Upper Salmon","2014-05-08","Observation","2014-05-23 13:40:13","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","BO4","VERTICAL SLOT DETECTORS","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-04 06:44:28","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","GRA","WEIR 733","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-15 08:55:28","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","BO4","VERTICAL SLOT DETECTORS","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-04 06:44:29","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","TD2","Counting Window","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-05 15:56:55","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","MC1","COUNTING WINDOW","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-08 20:26:16","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","GOA","Counting Window","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-12 10:15:39","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","LMA","Right Ladder","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-11 10:36:36","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","LMA","Right Ladder","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-11 10:36:37","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","GOA","Counting Window","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-12 10:15:38","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","MC1","COUNTING WINDOW","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-08 20:26:15","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","RLCTRP",NA,"Summer","RLCTRP","Upper Salmon","2015-05-04","Recovery","2017-08-28 06:00:00","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","BCC","15X15 FULL-FLOW ANTENNA","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2015-05-23 05:30:45","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","GRA","WEIR 733","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-15 08:55:29","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","ICH","LEFT LADDER WEIR 437 [O/S]","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-10 07:56:24","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","TD2","Counting Window","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-05 15:56:56","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","ICH","LEFT LADDER WEIR 438 [O/S]","Summer","RLCTRP","Upper Salmon","2015-05-04","Observation","2017-07-10 07:57:17","H",NA,FALSE,"sockeye"
"3DD.00777ADDBD","JDALD1",NA,"Summer","RLCTRP","Upper Salmon","2015-05-04","Passive Recapture","2017-07-06 14:38:54","H",NA,FALSE,"sockeye"
"3DD.00777C0132","JDJ","RIVER EXIT","Summer","RLCTRP","Upper Salmon","2015-05-05","Observation","2015-05-20 09:57:41","H",NA,FALSE,"sockeye"
"3DD.00777C0132","JDJ","RIVER EXIT","Summer","RLCTRP","Upper Salmon","2015-05-05","Observation","2015-05-20 09:57:40","H",NA,FALSE,"sockeye"
"3DD.00777C0132","BO1","VERTICAL SLOT DETECTORS","Summer","RLCTRP","Upper Salmon","2015-05-05","Observation","2017-06-21 16:04:30","H",NA,FALSE,"sockeye"
"3DD.00777C0132","BO1","VERTICAL SLOT DETECTORS","Summer","RLCTRP","Upper Salmon","2015-05-05","Observation","2017-06-21 15:55:05","H",NA,FALSE,"sockeye"
"3DD.00777C3181","GOA","Counting Window","Summer","RLCTRP","Upper Salmon","2015-05-05","Observation","2017-07-13 05:42:03","H",NA,FALSE,"sockeye"
"3DD.00777C3181","LMA","Right Ladder","Summer","RLCTRP","Upper Salmon","2015-05-05","Observation","2017-07-10 15:27:07","H",NA,FALSE,"sockeye"
"3DD.00777C3181","LMA","Right Ladder","Summer","RLCTRP","Upper Salmon","2015-05-05","Observation","2017-07-11 20:46:56","H",NA,FALSE,"sockeye"
"3DD.00777C3181","LMA","Left Ladder","Summer","RLCTRP","Upper Salmon","2015-05-05","Observation","2017-07-10 01:18:25","H",NA,FALSE,"sockeye"
"3DD.00777C3181","RLCTRP",NA,"Summer","RLCTRP","Upper Salmon","2015-05-05","Recovery","2017-08-29 06:00:00","H",NA,FALSE,"sockeye"
"3DD.00777C3181","JDALD2",NA,"Summer","RLCTRP","Upper Salmon","2015-05-05","Passive Recapture","2017-07-02 17:42:59","H",NA,FALSE,"sockeye"
