"Project","Date","Outflow","Spill","TempSC","Temp","Dgas","Elev","TempTW","DgasTW","ElevTW"
"BON","2005-01-01",125.58,1.12,6.7,6,99.6,73.62,-1,-1,-1
"BON","2005-01-02",132.05,1.15,6.7,5.95,97.16,73.74,-1,-1,-1
"BON","2005-01-03",164.32,1.1,6.1,5.73,97.08,72.95,-1,-1,-1
"BON","2005-01-04",164.78,1.12,6.1,5.41,97.26,72.37,-1,-1,-1
"BON","2005-01-05",166.73,1.03,5.6,5.05,96.82,72.15,-1,-1,-1
"BON","2005-01-06",163.86,0.98,5.6,5.01,97.67,72.26,-1,-1,-1
"BON","2005-01-07",153.38,0.98,5.6,4.99,99.31,74.16,-1,-1,-1
"BON","2005-01-08",161.43,1.05,-1,4.79,98.44,74.75,-1,-1,-1
"BON","2005-01-09",120.09,0.99,-1,4.7,96.9,74.41,-1,-1,-1
"BON","2005-01-10",141.1,0.99,-1,4.56,97.06,74.38,-1,-1,-1
"BON","2005-01-11",154.21,0.95,-1,4.38,97.03,74.3,-1,-1,-1
"BON","2005-01-12",125.81,0.96,5,4.4,96.98,73.28,-1,-1,-1
"BON","2005-01-13",162.51,1.05,5,4.46,97.54,73.38,-1,-1,-1
"BON","2005-01-14",197.95,1.05,5,4.13,96.97,73.47,-1,-1,-1
"BON","2005-01-15",160.66,1.01,5,3.43,96.9,74.05,-1,-1,-1
"BON","2005-01-16",138.18,0.94,3.3,2.9,96.55,73.69,-1,-1,-1
"BON","2005-01-17",148.6,1.06,3.3,2.8,97.38,73.51,-1,-1,-1
"BON","2005-01-18",128.57,0.88,3.3,2.86,97.71,73.88,-1,-1,-1
"BON","2005-01-19",148.9,1.07,3.9,3.18,98.61,74.64,-1,-1,-1
"BON","2005-01-20",137.43,1.18,3.9,3.34,99.15,75.46,-1,-1,-1
"BON","2005-01-21",139.54,1.18,3.9,3.47,99.21,75.22,-1,-1,-1
"BON","2005-01-22",141.68,1.19,3.9,3.62,99.64,75.1,-1,-1,-1
"BON","2005-01-23",134.51,1.07,3.9,3.6,99.65,75.35,-1,-1,-1
"BON","2005-01-24",140.66,1.03,3.9,3.51,99.7,75.02,-1,-1,-1
"BON","2005-01-25",142.79,1.01,3.9,3.35,99.86,74.74,-1,-1,-1
"BON","2005-01-26",158.98,1.04,-1,3.21,100.09,75.05,-1,-1,-1
"BON","2005-01-27",162.69,1.09,-1,3.18,99.95,75.57,-1,-1,-1
"BON","2005-01-28",147.98,1.09,-1,3.24,100.17,75.05,-1,-1,-1
"BON","2005-01-29",148.43,1.08,3.9,3.21,98.7,74.77,-1,-1,-1
"BON","2005-01-30",130.79,1.06,3.9,3.25,98.73,75.04,-1,-1,-1
"BON","2005-01-31",132.5,0.99,3.9,3.34,98.85,74.27,-1,-1,-1
"BON","2005-02-01",146.04,0.93,3.9,3.45,98.88,75,-1,-1,-1
"BON","2005-02-02",149.76,1.04,3.9,3.52,99.29,74.99,-1,-1,-1
"BON","2005-02-03",143.62,1.02,3.9,3.68,100.1,75.32,-1,-1,-1
"BON","2005-02-04",153.27,0.98,4.4,3.88,100.61,75.06,-1,-1,-1
"BON","2005-02-05",167.46,1.04,-1,4.05,100.25,74.85,-1,-1,-1
"BON","2005-02-06",150.97,0.99,-1,4.13,100.94,74.68,-1,-1,-1
"BON","2005-02-07",162.97,0.95,-1,4.14,100.12,74.79,-1,-1,-1
"BON","2005-02-08",149.1,0.98,-1,4.14,99.89,74.81,-1,-1,-1
"BON","2005-02-09",154.68,1.01,4.4,4.13,99.92,74.72,-1,-1,-1
"BON","2005-02-10",162.5,1.08,4.4,4.15,100.19,75.14,-1,-1,-1
"BON","2005-02-11",167.13,1.02,4.4,4.19,101.12,75.11,-1,-1,-1
"BON","2005-02-12",154.8,0.95,5,4.25,101.13,74.73,-1,-1,-1
"BON","2005-02-13",122.05,0.94,5,4.35,100.77,74.1,-1,-1,-1
"BON","2005-02-14",128.76,0.94,5,4.42,100.6,73.74,-1,-1,-1
"BON","2005-02-15",155.2,1.28,5,4.38,100.53,74.1,-1,-1,-1
"BON","2005-02-16",157.95,0.95,5,4.27,100.38,74.34,-1,-1,-1
"BON","2005-02-17",165.01,1,5,4.21,100.69,74.22,-1,-1,-1
